Product code,Product label,"Korea, Republic of's imports from Japan-Value in 2012","Korea, Republic of's imports from Japan-Value in 2013","Korea, Republic of's imports from Japan-Value in 2014","Korea, Republic of's imports from Japan-Value in 2015","Korea, Republic of's imports from Japan-Value in 2016","Korea, Republic of's imports from Japan-Value in 2017","Korea, Republic of's imports from Japan-Value in 2018","Korea, Republic of's imports from Japan-Value in 2019","Korea, Republic of's imports from Japan-Value in 2020","Korea, Republic of's imports from Japan-Value in 2021",Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,64362822,60015980,53775979,45854370,47454088,55133802,54605035,47575433,46024958,54636756,,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,757460945,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,1862792,959512,1143773,1275889,1525148,3797498,3842184,1397323,2576175,3970447,,7497650,6085122,6342768,5998193,8094983,10313863,11588292,11601008,12020146,18388126,,5280006,3810819,5197125,5076277,5344652,13589197,12011339,5096218,10271242,16354874
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1037489,946709,1474955,1577810,1889564,2239351,1921522,1909964,2226172,2790225,,6300567,5070097,4928240,3922028,3839023,3956388,3488007,3137388,2773698,3354625,,14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",1902398,1701971,1365351,702374,734804,1134698,1468496,1297170,775168,1452720,,3497083,3157732,2688540,1916036,1934304,2403099,2369709,1731332,1836892,2498227,,4061232,3339632,2828226,1313016,1236048,1700149,2238712,2013531,1108587,2145777
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",978381,1175693,805529,692964,793717,968554,975756,1003284,1151812,1390899,,5832186,4725687,4535930,4031915,3912765,3882194,3955824,3532115,3441502,3822637,,3031320,3301669,2891787,2649735,2479270,2856290,2714172,2982742,2936384,3511881
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",769002,548032,473995,439613,492960,588774,889164,930291,917949,948142,,2996387,2580708,2730727,2605747,2634309,3084935,3926841,4019308,4033920,4585284,,1573601,1347890,1260843,1303416,1475346,1806053,2566654,2282532,1978974,2315348
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,405668,445319,397642,428268,560081,867480,883594,664973,643497,921748,,3309305,2946655,3181004,3154275,4398921,5689336,5689802,5029592,6058813,6264001,,1231798,1237401,1266106,1456087,1674142,2546931,3203595,2478140,2979355,4175797
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",881007,831092,650116,517991,570052,698337,698264,681164,537941,815584,,3524202,3633297,3399559,3003043,2613537,3113681,2975280,2825628,3066288,4829165,,1388326,1173436,1029047,859060,873887,1160699,976675,1001801,745608,1329228
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",1334033,776606,859203,474866,343054,205549,491066,570865,329635,712913,,2394879,1800837,1664899,1478428,1134363,937630,1598357,1511982,1235856,1871661,,2605090,1432869,1770176,1097640,823972,424911,649165,880151,556407,935264
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,896612,879637,774570,739309,707135,,0,0,0,0,0,3630937,3907464,3602200,3593527,4523438,,0,0,0,0,0,1774696,1912108,1841465,1712523,1885858
