Product code,Product label,India's imports from China-Value in 2012,India's imports from China-Value in 2013,India's imports from China-Value in 2014,India's imports from China-Value in 2015,India's imports from China-Value in 2016,India's imports from China-Value in 2017,India's imports from China-Value in 2018,India's imports from China-Value in 2019,India's imports from China-Value in 2020,India's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,54140455,51635444,58230546,61641108,60479988,71890425,73845717,68402093,58798825,87535136,,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,3026233691,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",1678503,2205297,2030880,2399582,2047631,2582336,2491469,2659865,3173225,5391921,,113784253,110802220,108658457,90457283,79408394,89749076,95883926,95669671,115314593,124188992,,2022981,2475144,2268960,2602466,2268892,2800492,3211014,3588708,4523829,7353545
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",1815382,1349376,1286249,2744808,4738308,9385475,6223105,3737491,3049461,4114666,,39594274,47116398,45105066,49585071,48463570,50776282,51951119,47859965,45200289,49192067,,2829269,2678574,2725304,5021119,6376143,11279333,9671630,8168050,6543206,7348509
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",341706,768554,514871,1608913,2666194,3920546,2272937,1814904,1275851,3651938,,17483233,15759176,19389065,22831268,16923149,16469237,18218687,23600450,23843115,29982563,,871941,1069457,774775,2057994,3157081,4538222,2858611,2458558,1534176,4167365
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",178473,216029,171613,250771,251061,322327,1504088,2071764,1565849,3613220,,27056528,37458193,26922046,30661940,26760149,27198345,29567607,35800142,40205837,45624922,,1228689,993623,719650,755501,757057,936996,3911540,5313237,4408979,7523575
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",435705,519166,647258,702779,928616,1053366,696589,835999,1198529,2217305,,10398268,10749465,12120725,10267775,10544873,12135404,12184421,12705435,14034762,16500292,,981782,1033925,1071586,1092561,1291374,1401143,1218039,1407069,1675853,2808602
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",486089,540095,690379,1006058,1010954,1218960,1384733,1035912,1250170,1419711,,26543598,26879247,28640165,32437464,31987803,36155599,42267557,46600996,48185653,45936899,,1052223,1420245,2215590,2567716,2395682,3560150,5718568,3465704,3369367,3872730
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",1118505,1235002,1594567,1622575,495136,253062,206916,1012385,938282,1414978,,2637658,2601886,3993789,3938227,1974186,1141257,775158,1404823,1421898,2132379,,2644195,2667358,2103064,2619522,1455515,1296963,1457788,3088373,2936683,4168321
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",1318111,869287,878397,1761365,889624,718929,1347689,894123,559642,1039649,,2165522,1698207,2138492,3669590,2289824,2207823,3080694,2314620,1826319,3325872,,3398943,1752648,1824174,3104234,1690454,1469851,2766606,2164582,2121551,2838102
850760,Lithium-ion accumulators (excluding spent),0,107564,65211,142733,242617,430430,775723,747230,575463,988906,,4464821,4707565,5475430,6493855,6814605,8035482,10821769,13031189,15941002,24963112,,0,167481,126533,203092,304780,467906,1147766,1295134,1056579,1664286
850440,Static converters,281081,318857,328887,378133,443367,639024,521151,537919,601826,934974,,15550632,17613653,18244369,17808018,16465983,17099818,17933786,18436273,20901019,24890780,,715316,759076,754667,857308,888393,1147820,1111870,1110998,1074591,1543172
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",3181553,4528044,6229414,6027167,3875778,3309144,1580791,631248,1344335,877515,,81453710,95625511,115918827,124901982,116148676,127265887,141683901,125432114,126086675,127908542,,4591359,5934103,7433805,6953939,4071646,3406372,2216982,864257,2155978,1532452
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",81906,98584,151608,161747,237476,364548,480422,449198,557898,817121,,1555146,1517164,1667295,1708063,1817218,1937334,2142233,2143647,2811820,3148085,,146758,145188,221037,241215,347561,527003,647942,636967,722971,1045186
