Product code,Product label,"India's imports from Taipei, Chinese-Value in 2012","India's imports from Taipei, Chinese-Value in 2013","India's imports from Taipei, Chinese-Value in 2014","India's imports from Taipei, Chinese-Value in 2015","India's imports from Taipei, Chinese-Value in 2016","India's imports from Taipei, Chinese-Value in 2017","India's imports from Taipei, Chinese-Value in 2018","India's imports from Taipei, Chinese-Value in 2019","India's imports from Taipei, Chinese-Value in 2020","India's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
TOTAL,All products,4350784,4140538,4040169,3542772,3106368,3631622,4550450,4194059,3718935,5765047,,300887781,304571708,313159754,279943715,279020548,315734179,334244241,329512433,346633936,447565068,,488976378,466045567,459369464,390799463,356686417,443852795,509273228,478883729,367980363,570402004
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",11683,37887,35759,128437,138908,211772,393625,421120,242855,507460,,695896,786401,748882,696248,760253,1074114,1161301,1143422,1077034,1742811,,81088,113589,174935,366757,472892,1083314,1865055,1932763,1417096,2479611
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",147931,120052,50500,50450,57269,73769,69201,56103,341094,432917,,1041863,1191580,1203438,1538886,1693407,2446643,4686180,6136142,9822947,15391969,,1228689,993623,719650,755501,757057,936996,3911540,5313237,4408979,7523575
291736,Terephthalic acid and its salts,3444,24153,48963,36107,5735,30950,142430,143285,39136,255727,,2092261,537135,188746,96693,120349,154404,695905,893300,479232,659217,,696343,1035845,978076,619319,254961,284210,555711,655741,208264,1013340
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",4166,2942,2712,4998,9227,5554,34546,129326,112691,185765,,141881,179445,250868,258541,355450,570170,1137932,3440803,4773131,4968172,,688344,780456,922266,1345915,1178434,1404615,1806513,1822917,1681072,2119773
722519,"Flat-rolled products of silicon-electrical steel, of a width of >= 600 mm, non-grain-oriented",35852,59730,77607,76436,62622,112687,119252,81270,69743,166201,,347562,364944,365910,283981,220445,333304,353778,359479,346883,714314,,239957,220571,188306,169702,175654,290758,332887,307297,171518,454786
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",26161,33012,19665,30914,22747,20490,145650,153003,273230,158410,,3006708,3050632,2988827,2069868,1689764,1965414,1659108,1919649,2046042,2186394,,2829269,2678574,2725304,5021119,6376143,11279333,9671630,8168050,6543206,7348509
852352,"Cards incorporating one or more electronic integrated circuits """"smart cards""""""""",19308,5738,8639,9027,7777,6325,1934,1225,904,124315,,64360,47327,53016,76659,81505,90020,89752,82204,86797,88645,,273867,210501,179969,162560,176902,162503,110174,90477,60412,238012
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,57512,42668,63084,43131,38618,55404,90830,125305,91326,113021,,4640323,4987802,5595262,4996074,4584262,5927446,7422908,10104872,11790874,17309676,,1598935,1529299,1429219,1258877,1120508,1234590,1335224,1338337,1245069,1850164
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",41171,52418,95026,82337,72257,118620,63989,31333,60204,108834,,51275604,54063441,62107980,60308815,68038408,79326166,79704980,82307845,95475033,118580959,,542800,563454,590617,641226,775259,1028867,1381781,2412800,2237431,2431775
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",13430,7829,10620,14841,11076,11874,62914,82592,77616,92636,,450084,535309,771434,604841,1002881,1599780,1490243,1743918,1980757,2192744,,2022981,2475144,2268960,2602466,2268892,2800492,3211014,3588708,4523829,7353545
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",96970,68433,45745,23692,17916,31955,19753,75481,61785,88311,,17857579,18440537,15792613,9032858,7623629,8398969,10883311,10339758,5106760,7813938,,3448458,3097126,3272372,2065917,2233605,3109496,4602869,4936763,4772075,7920915
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",2829,11347,24428,7595,21254,45848,57897,30321,67102,78033,,1082308,1146282,1014617,711312,576136,685290,776158,512919,353912,524630,,146043,182400,206092,168050,187329,286376,388795,297241,288911,588852
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",12331,10304,11654,16211,19792,29439,42840,44038,64530,77667,,1032521,1035990,1344741,1488167,2024147,2739408,2940863,4641639,5868563,6927596,,1052223,1420245,2215590,2567716,2395682,3560150,5718568,3465704,3369367,3872730
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,1107,25234,35895,30686,69654,,0,0,0,0,0,166705,179197,271004,276183,320757,,0,0,0,0,0,254707,357590,360163,296910,451604
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",21084,26242,30901,22589,10608,15639,31537,34503,21179,60316,,519602,554170,562955,409610,283842,404686,442245,343369,285483,763253,,315017,379719,435205,405705,355993,404005,504946,485633,439961,892896
291612,Esters of acrylic acid,25460,27514,28115,25893,12458,26096,44507,27338,26184,60147,,180969,189544,160185,145432,135102,164562,205174,166332,148494,333891,,263326,289340,303208,241350,211273,310867,379076,363744,299318,780596
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",3682,3343,3388,2869,5704,7757,13695,11355,11234,59441,,2379340,2260829,2086795,1668888,1591271,2184091,2245167,1737437,1672909,2710523,,120961,147793,154514,159010,153765,197514,243996,196865,133202,293798
853400,Printed circuits,63031,28964,14489,16149,20279,15802,17208,14747,29630,53730,,5949267,5778853,5802522,5464763,4921072,5544428,5599101,5289025,5636487,6625577,,363384,281885,227326,254830,352607,425485,628116,650890,623039,885774
320611,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,60642,25905,18826,16496,24466,34477,38016,22240,9553,47940,,190238,295074,296275,267257,232735,256280,223514,186410,186292,284548,,392134,319821,312261,274412,397002,581640,677031,677265,610375,1014255
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",12488,12157,14680,16063,21520,31325,54564,37266,26422,47464,,514232,452044,532513,498791,493698,622634,660335,514525,480911,711251,,211986,160543,155792,150876,166061,175212,251359,209633,153222,193558
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",28938,18775,17220,11741,15612,14973,21111,21261,11849,43542,,593033,491992,464776,349534,235294,229918,376906,295305,328888,677461,,41958,46489,52472,53446,51813,77517,128659,96712,73953,237716
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",34738,80582,110078,58413,23803,17224,8646,11804,15638,41892,,4123894,4630283,5523050,4784327,4850499,5076171,6404239,7197136,8866269,10272270,,193037,273782,340923,279465,248262,276330,311061,302198,282054,434762
