Product code,Product label,"Taipei, Chinese's imports from Korea, Republic of-Value in 2012","Taipei, Chinese's imports from Korea, Republic of-Value in 2013","Taipei, Chinese's imports from Korea, Republic of-Value in 2014","Taipei, Chinese's imports from Korea, Republic of-Value in 2015","Taipei, Chinese's imports from Korea, Republic of-Value in 2016","Taipei, Chinese's imports from Korea, Republic of-Value in 2017","Taipei, Chinese's imports from Korea, Republic of-Value in 2018","Taipei, Chinese's imports from Korea, Republic of-Value in 2019","Taipei, Chinese's imports from Korea, Republic of-Value in 2020","Taipei, Chinese's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021","Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
TOTAL,All products,15122451,15773079,14760270,13002192,14619294,16908834,19560192,17758502,20664352,30713570,,547854448,559648708,573091134,526900733,495465606,573716618,605169190,542333337,512788606,644438622,,271518081,270128149,273647330,228407580,229052733,257510859,285050277,285906281,287171262,382498457
854232,Electronic integrated circuits as memories,1161062,1190145,1230867,1091195,2283788,3993426,5530605,4770060,6728519,9261431,,16611973,21964136,28849532,28856912,31612095,60506974,83048246,53163163,52359154,69177215,,5573233,4818345,5431547,4931682,8295298,13264776,18157409,19234409,25586354,33781517
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",2534899,2728908,3239861,2848582,2818107,2958576,2909456,2341562,2960306,5611016,,3275183,4194566,3873894,3173909,3342874,3926261,4294420,4901387,6622730,9101987,,22970676,23597907,25365041,23263494,24227814,25931437,27291286,26370178,26777905,35057985
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",521397,474231,312532,272791,257087,379754,537346,511977,1004948,1823518,,21228826,20702672,18514980,19887934,17066083,21362697,22100868,20681846,23516687,30406085,,2568572,2866098,3009120,2989741,3208129,3876774,4943731,7676826,9666271,12114421
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1515110,1911131,978112,939773,1658588,1276809,1424357,1463698,742175,1342676,,43536414,39290957,37799193,22784332,18938588,25256941,34171305,29751793,17844010,26178125,,14342442,16269263,14498031,8859795,8035800,8966095,10061108,6832611,5516332,9518071
853400,Printed circuits,182442,324660,337214,272295,283983,239640,317469,412508,595070,873002,,4278649,5181854,4698052,4335263,4385224,5524185,4995358,4797820,5031472,5789358,,1328828,1381011,1517079,1483156,1442312,1554941,1750855,1975409,2669488,3610051
290243,P-Xylene,493479,507887,380455,303573,295410,333070,710622,634582,433973,672621,,3229066,4511579,4810291,4787745,4896980,6040762,7633872,6199836,3436561,5140686,,2046852,2007903,1389607,953011,920659,1142416,1728913,1609898,895212,1401277
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,70308,82313,110715,94537,66652,148071,150620,210976,399750,634447,,3374821,4351604,5679190,5424100,4143295,7481776,12046739,11307539,13210367,15075179,,1259678,1320102,1551401,1386398,1557216,2822434,3181798,3817384,5197863,7454859
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",98121,53590,34803,38838,99551,77921,63224,133917,353358,374273,,776542,635482,697794,730310,818270,443550,2081655,4712884,10122578,12881352,,1332500,1343417,886475,630992,748402,977151,1085863,1176452,1711229,2006601
290220,Benzene,423439,488939,450596,317890,298048,415777,444231,329914,229293,365706,,1854307,1809398,2271028,1732735,1271975,2124295,2107909,1673215,1081893,2254945,,720451,952451,961942,506270,505297,606567,655750,600353,443901,706968
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,128044,78946,129722,69379,139573,139146,128115,131970,164319,352125,,544208,854869,1121897,1231861,684594,748267,1096304,2020657,1876984,2936715,,7405743,8746713,6652092,6991456,9557322,7544276,6453069,12659910,11121841,17009104
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,53473,68804,70427,83333,105474,115527,153180,158390,245267,317568,,636714,826821,888093,948984,1121445,1717185,1900887,1898887,2189649,2789135,,1527262,2218244,2460938,2350815,2806462,3739515,3857021,5399515,5740056,6798467
290250,Styrene,59071,72785,37164,17462,4474,81925,243111,89624,137505,243596,,1794125,2138734,2263537,1317937,1312076,1540976,1099604,635004,541951,784469,,554204,671338,616568,362867,291082,420106,414180,304906,256024,507194
730820,"Towers and lattice masts, of iron or steel",0,0,0,0,0,0,1644,0,62308,213847,,8922,21795,18147,19149,22512,9619,5673,51686,75856,79009,,118,101,1997,136,20,128,1690,3251,74934,273695
860310,"Self-propelled railway or tramway coaches, vans and trucks, powered from an external source ...",0,0,0,0,0,0,0,0,27958,203591,,574772,0,106762,340011,263425,6984,43681,187751,353729,741262,,70489,112186,58469,104118,8594,44279,8097,43029,37267,240660
740311,"Copper, refined, in the form of cathodes and sections of cathodes",45910,10280,24166,46655,109246,68555,96979,151421,87452,197787,,1352442,1321505,1324459,1565691,1242602,1413554,1511844,1503008,1576228,2997615,,3351511,3085727,3092407,2588994,2507726,3404272,3003267,2758175,2568578,3789890
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",498615,394251,366342,247188,203965,152055,241720,200131,108615,183326,,280677,277291,484961,378118,244943,302926,433305,450786,316620,457281,,1215122,906205,909342,439383,563724,541378,601664,514596,265590,426553
854460,"Electric conductors, for a voltage > 1.000 V, insulated, n.e.s.",3284,34,700,2,96,183,1613,719,28357,182139,,751346,652252,924803,623394,512492,589470,710466,543640,594628,682593,,16075,57491,32426,54454,35540,6974,12846,20868,79416,221923
700600,"Sheets or profiles of glass, whether or not having an absorbent, reflecting or non-reflecting ...",110612,224795,179806,115516,87417,137797,175969,203730,155500,148546,,177249,309339,395901,393637,472494,497857,548161,519117,485628,708008,,384709,592440,574285,493746,345845,289155,306546,337347,366066,409919
290122,"Propene """"propylene""""""""",92711,68507,26044,37238,39427,46485,58323,65357,85754,142201,,1607519,1638088,1762084,977091,1203536,1511045,1763506,1479879,1165776,1677389,,538705,344798,209958,129095,135126,265306,265597,222173,198573,280974
290711,"Phenol """"hydroxybenzene"""" and its salts""""",2847,8217,39352,42948,69987,114465,114112,107354,32439,134535,,140134,235941,329654,154560,208606,317172,552901,314252,185530,303289,,14336,36334,95461,76660,98518,169511,264305,162914,70235,235993
720851,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, not in coils, simply ...",37945,43297,52663,80861,14790,27826,35049,36159,72686,134041,,2082970,1467912,1840437,1368737,1161627,1571645,1565607,1633557,1483342,1767813,,171732,193137,214876,181371,76061,148309,155850,170663,275916,355787
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",247718,225310,209769,160206,134643,166970,193384,137992,143133,132195,,940083,853307,750715,647851,633800,691605,1297221,972899,922276,1071559,,2521702,2790158,3292574,3035912,2788016,2960958,3053871,2553086,2661965,3078486
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",209274,169197,150444,115888,104978,92837,74621,83137,103604,122838,,498757,389305,367930,366924,579755,380677,335858,309118,928220,480320,,1416149,1053777,950788,756574,802082,819449,804913,861208,1202319,1299090
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",4144,5603,5391,5873,4401,5971,2206,6745,122189,109370,,2468938,2071810,2485499,3061331,3455792,4517527,2061303,1142800,883912,1365602,,116131,82867,108466,84511,85484,74391,79787,212606,624318,297493
999999,Commodities not elsewhere specified,33580,50069,51375,50629,53388,65972,68074,74256,125020,104829,,67648,64113,57712,56571,58393,49796,49332,46840,37392,39332,,2137731,3152091,4097793,4552289,3273929,3698539,3509151,3723829,3768943,4306975
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,70687,79505,71314,77016,103979,,0,0,0,0,0,901492,1028200,1077812,1085519,1381089,,0,0,0,0,0,1471945,1612205,1497734,1545068,1825090
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",29423,40525,50024,63808,75360,75801,86104,78012,79864,100476,,734607,928958,1446304,2246945,3173825,3600100,4536943,4920441,5700671,7201842,,602868,606523,624555,635325,773767,743211,867852,850633,719443,731481
290121,Ethylene,111427,92990,36267,28551,17229,48340,28862,66506,21006,99312,,1238040,1417477,1065355,658029,749586,930524,1026259,950581,604458,1200919,,435974,332158,192346,236378,315600,527715,463879,325480,282132,373672
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,34881,39129,50021,91750,75226,76560,88206,76694,97637,96890,,255291,284803,341221,314122,264300,324001,398827,335981,410392,415293,,577290,637429,744014,901109,1017849,1098679,1355096,1264550,1644104,1858594
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",105311,90457,62298,63335,40502,49150,51198,40757,41926,87797,,715586,670287,602608,708825,765916,925159,1061079,881017,912974,773047,,312978,331802,413274,393646,332864,520074,484619,467847,371017,512250
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",51168,50507,53013,86299,73148,84547,67517,67951,73202,82285,,236773,221260,312185,392342,476340,569724,618032,611837,637806,776846,,792653,744442,777600,664633,641569,686910,721163,809443,939699,1024035
722790,"Bars and rods of alloy steel other than stainless, hot-rolled, in irregularly wound coils (excluding ...",6874,10952,14018,13625,15763,28102,35392,28527,43887,81608,,31830,35548,87253,90142,99656,115299,122715,146104,165885,244681,,51824,125193,121357,96848,84745,105549,140251,92897,88420,209938
853669,Plugs and sockets for a voltage <= 1.000 V (excluding lamp holders),11125,12064,18347,26564,41856,54502,65152,99528,85408,81489,,873686,1066350,1010287,994320,1058901,1227813,1169204,1173518,1179754,1304071,,562323,559906,600972,556305,546918,585536,665410,724776,870753,1256270
281290,Halides and halide oxides of non-metals (excluding chlorides and chloride oxides),48489,47864,49047,70213,63849,73721,75752,70457,79320,79220,,107105,93291,93907,122555,152374,174288,190601,177858,187003,188697,,138291,138598,136569,163605,153456,167998,163535,151459,162639,174749
841410,Vacuum pumps,3682,14007,27755,31828,49840,50342,59298,82139,57963,73264,,192602,291358,283368,308417,327227,377785,459127,428060,366244,443500,,151218,150550,163401,159486,192489,208857,208037,250041,231085,317475
848640,Machines and apparatus specified in Note?9 C to chapter 84,26005,32436,26618,26607,22906,47410,59658,46491,58288,73093,,331266,524499,647403,871291,871736,1187286,1724458,1301317,1520465,1550502,,393805,336148,489137,232883,376987,449810,581634,470166,646759,788907
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,3787,4871,5221,6957,18510,24334,30494,44773,37306,72713,,247151,348023,374031,428747,386162,450917,573905,719146,802582,963507,,134312,174847,170573,174290,298692,315337,388435,456309,469059,612572
847989,"Machines and mechanical appliances, n.e.s.",24205,37234,54940,60940,47122,53268,45486,44441,57354,68255,,2885058,2913242,2735341,2971663,2873560,4006139,4403714,4265427,3103044,3450099,,761084,771724,693818,783284,754779,558366,695801,763934,835788,1051146
790112,"Unwrought zinc, not alloyed, containing by weight < 99,99% of zinc",29068,35922,61429,38433,51112,62188,53436,49984,41553,66895,,114110,131568,180545,161230,217237,268745,302319,272340,249618,426670,,83757,85031,110523,106334,92469,152764,128109,100515,90941,147126
741021,"Refined copper foil, backed, of a thickness """"excluding any backing"""" of <= 0,15 mm (excluding ...""",7658,8853,11245,9807,24146,27848,43062,48584,55164,66723,,181741,166510,182463,172840,199679,208791,267457,293895,331875,430623,,345304,308664,305648,257711,306371,331136,355941,348634,396531,408413
290315,"Ethylene dichloride """"ISO"""" """"1,2 dichloroethane""""""""",1185,1,2003,2,2380,2,7829,7497,10690,59389,,51129,84244,95289,61167,55591,49493,78309,89238,92448,148435,,31898,58112,93119,73533,64131,79294,72629,103751,66576,177692
700319,"Cast glass and rolled glass, in non-wired sheets, not otherwise worked (excluding glass coloured ...""",165178,122907,14987,54657,110963,40879,44565,38992,36262,59156,,4718,84970,32280,157412,277935,338459,405127,461262,644859,560905,,246120,186436,75733,109401,135365,64959,68353,64372,66786,78968
854290,"Parts of electronic integrated circuits, n.e.s.",40308,42513,37456,31328,37097,43701,34833,34347,42385,56895,,212004,213642,241482,210445,223042,263197,287985,254192,280823,401285,,376930,376042,369143,285131,325494,346348,314039,276624,315407,435647
210690,"Food preparations, n.e.s.",21734,25411,27628,34664,38099,43755,42817,50968,44093,51202,,491360,551106,590458,596362,667768,774033,842998,773316,581173,722695,,487157,505972,534435,559427,586656,593092,669946,688011,674757,788143
390740,"Polycarbonates, in primary forms",39105,38496,35253,35274,27279,33932,37671,32500,31199,50371,,1177209,1290492,1342616,1386987,1368123,1572327,1778793,1386634,1453770,2346756,,528418,441591,453636,381288,327428,368121,402448,349540,299627,439332
720720,"Semi-finished products of iron or non-alloy steel containing, by weight, >= 0,25% of carbon",35259,534,1762,824,1698,308,2422,9819,34564,49834,,587974,353206,82233,30341,9797,31303,68878,29210,80515,63595,,377282,121099,244103,160584,202996,195943,306529,349966,368145,458437
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,17917,18871,24074,81074,124161,65273,91797,36995,37956,49630,,129136,124835,189629,193996,174791,173523,283469,249272,270824,263593,,1639676,1504331,2483971,1541914,1629789,1535082,1848923,1851525,2137078,2463560
740911,"Plates, sheets and strip, of refined copper, in coils, of a thickness of > 0,15 mm (excluding ...",3272,3041,6310,4566,22828,31287,33850,32180,32844,49072,,146526,154108,180619,115971,104375,140722,164843,138322,158300,238395,,65761,102471,124098,72095,84695,134353,151847,129246,106962,218126
