Product code,Product label,Germany's imports from Saudi Arabia-Value in 2012,Germany's imports from Saudi Arabia-Value in 2013,Germany's imports from Saudi Arabia-Value in 2014,Germany's imports from Saudi Arabia-Value in 2015,Germany's imports from Saudi Arabia-Value in 2016,Germany's imports from Saudi Arabia-Value in 2017,Germany's imports from Saudi Arabia-Value in 2018,Germany's imports from Saudi Arabia-Value in 2019,Germany's imports from Saudi Arabia-Value in 2020,Germany's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
TOTAL,All products,2231676,2240875,1475186,969704,690222,915845,1386573,1308560,1052471,1298420,,387373983,375360918,341947183,213376375,178874135,220068596,294535553,251800458,176507506,267546847,,1161247824,1187301533,1214915242,1053388444,1056664804,1164586085,1286008402,1236217435,1172923865,1421195357
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",1533495,1695099,989318,534453,236913,356709,730529,654905,538314,479111,,305237240,293994567,250522820,133327890,111967607,133623204,0,0,0,0,,76779920,75727628,65737928,36513217,28776094,36231014,45086740,40738077,27401959,39962984
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,27096,39561,42023,41654,74555,,0,0,0,0,0,0,0,0,0,394572,,0,0,0,0,0,453798,505636,483015,455638,744298
999999,Commodities not elsewhere specified,34910,44266,41139,37416,49286,79398,51818,42022,50720,70277,,58175,53598,44142,326278,238820,161601,231751376,202382227,131993296,206072415,,44485345,48480497,52910593,48547234,58787320,63838719,67901512,66983664,54006475,82153740
711230,Ash containing precious metal or precious-metal compounds,23798,17098,19242,28441,12691,19329,57398,30897,17866,68844,,0,0,0,261,380,185,0,2048,0,21823,,85440,109208,95534,85557,57497,72739,132925,192333,82508,229141
291532,Vinyl acetate,19757,37902,57779,30737,32127,27009,45878,27232,23114,62023,,337647,340908,477080,258518,259614,192958,256932,309259,318036,488563,,105052,159170,240004,231677,173197,186479,221585,172707,162012,300180
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",74802,85496,52101,41892,61146,65858,69381,51157,34074,55374,,4878602,5111909,6007595,4578761,4154336,4968889,5322149,4787167,3624256,4806767,,1468229,1646557,1626085,1438392,1353662,1432961,1483311,1325109,1142577,1656364
390210,"Polypropylene, in primary forms",40033,31148,33503,33330,19349,44104,55325,59660,44024,50852,,5030023,5627839,6310098,5045566,4220934,4842383,5836460,5428347,4757566,6805596,,1253908,1261298,1348947,1137936,1097047,1319952,1528802,1370842,1136170,1776845
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",37329,15812,9111,33234,11017,27359,0,119969,45051,48604,,3367498,2402657,2837271,35895,882970,3901,3457,0,0,0,,23761969,26820702,22678918,13970891,12235047,14189323,17461245,17496797,10501298,13236501
290539,"Diols (excluding ethylene glycol """"ethanediol"""" and propylene glycol """"propane-1,2-diol"""")""""",10106,11778,11945,13750,12846,7450,6663,2118,6768,35760,,15666,14867,12513,9275,4537,36305,26336,61780,62855,195799,,217204,202542,211185,140472,122159,158327,178549,154630,132714,294487
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",84429,6949,12494,28554,6675,26867,20039,6699,56759,32888,,0,0,59,0,0,0,186,0,0,0,,1874107,1834649,1528461,1129924,841621,964157,1174410,1594561,2411413,3723744
390110,"Polyethylene with a specific gravity of < 0,94, in primary forms",79232,70404,63572,45204,54140,41950,40837,20580,11774,26963,,3285565,4016457,4133526,3384236,3582379,3705728,5152007,4147191,3814703,5482878,,2131230,2097298,2067181,1757158,1734496,1780222,1775074,1511020,1257256,2030696
291531,Ethyl acetate,0,54,119,0,1832,565,1309,778,4128,14808,,0,52980,124798,86842,66036,64749,73198,74176,89061,132589,,95076,88952,90302,74648,71561,80127,98855,77657,77082,139685
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,0,0,0,0,637,2261,3106,4533,13672,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,224195,222351,218458,181613,176506,207254,193724,156541,118771,170126
560311,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",6,14399,15953,7514,14159,19047,17358,14619,12172,13308,,11472,16289,12601,80985,41591,52121,53954,58869,70240,77543,,231645,250906,263453,212180,192789,207576,220661,183250,202411,259411
711019,"Platinum, in semi-manufactured forms",0,0,0,0,0,0,3420,115,0,11450,,0,0,0,0,0,0,0,0,0,0,,287475,228611,183277,141891,138790,134103,145978,144785,144834,245625
290513,"Butan-1-ol """"n-butyl alcohol""""""""",0,0,0,0,752,6660,1798,1836,2373,11250,,0,3126,13487,623,6036,13220,1844,740,553,11425,,119768,145679,132239,89089,82452,146554,138927,129857,103510,142812
290321,"Vinyl chloride """"chloroethylene""""""""",0,0,0,0,0,0,0,0,0,11245,,82,8914,0,2990,3149,4200,3249,0,14706,29019,,2706,3406,9042,10931,19069,20230,18817,6568,6897,33626
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",39,856,1722,812,1518,1788,10889,9000,8211,10874,,776,7608,4405,5232,5558,211029,605809,633743,489422,995149,,968677,992638,1072859,921099,883505,1038258,1164047,1064996,949524,1374497
760120,Unwrought aluminium alloys,0,1,0,1899,1238,5005,3279,0,0,9303,,202,2022,209196,335297,50692,210553,143005,127301,43837,92253,,4254869,4192204,4345251,3933002,3477930,4155068,4387164,3642839,2851459,4464129
390710,"Polyacetals, in primary forms",0,0,0,0,0,3,126,2662,6197,8010,,0,86,0,83,265,14603,50363,61600,55034,62087,,143427,145505,148971,121558,120331,142262,156619,143640,119315,169718
400239,"Halo-isobutene-isoprene rubber """"CIIR"""" or """"BIIR"""", in primary forms or in plates, sheets ...""",0,0,0,0,0,0,0,0,0,7801,,210,0,518,5,0,45,142,120,417,763,,158756,159612,150214,102526,95316,96084,104958,100454,75006,92137
290516,"Octanol """"octyl alcohol"""" and isomers thereof""""",2347,4346,4258,58,1298,1443,2739,2482,3652,7730,,18324,14530,9929,6540,6039,6915,3903,3384,2075,3491,,55859,70281,80201,57423,43687,79623,66432,39346,16742,37942
290511,"Methanol """"methyl alcohol""""""""",36268,9628,22335,15837,4102,0,5258,15293,4312,7597,,1654758,1556920,1573416,1148504,778136,1077801,1444214,1200022,948943,1594151,,602246,668486,716233,441695,301956,499434,569539,413116,311027,586016
290531,"Ethylene glycol """"ethanediol""""""""",2698,1429,816,1169,180,774,2927,578,2162,7309,,3097186,1598386,1552961,1039576,337963,458026,1123883,1305779,907148,1431899,,360496,336503,301530,253310,236651,297633,237852,181939,139992,263034
292910,Isocyanates,0,0,0,0,0,0,1132,2497,6461,6671,,49,138,207,17,21,309069,961009,257418,256115,150834,,276360,315519,271190,258176,211425,299715,377674,263999,202780,238818
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",19495,28197,20097,9618,9714,15031,7637,6874,6832,6025,,135554,456790,516447,417732,374216,472973,518111,414873,433092,792353,,3749614,3215934,3329652,2481638,2263790,2737813,2949704,2777190,2598999,3926054
