Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
TOTAL,All products,1544932000,1577587300,1619742900,1503328350,1451459684,1547195403,1665688484,1642820352,1424934919,1753941406
999999,Commodities not elsewhere specified,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",2633506,5099464,12309086,8820941,9462122,22843028,48064128,64518650,49507575,69356113
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",71362058,77494233,73182815,47499586,37787038,48220810,55991243,53121693,33730560,42946188
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",31069045,34460448,36761402,25774152,24348431,29700090,39486748,34569480,23924151,41893979
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379
120190,"Soya beans, whether or not broken (excluding seed for sowing)",24766159,21570313,23854945,18864835,22840367,21465095,17058475,18693793,25524781,27442041
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",33803949,31650160,20754187,19077283,17518244,19609612,20130676,16971877,20191596,27215404
271111,"Natural gas, liquefied",480650,202181,456434,370563,959073,3470037,5848476,9525199,13045788,26937758
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471
271112,"Propane, liquefied",2725652,5010392,7705525,5559960,7400924,12367965,14465276,12404374,11078764,21022232
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",20657827,22819936,25406823,21721726,21916493,18724756,17390556,20528260,17047647,20547366
100590,Maize (excluding seed for sowing),9409156,6493213,10711079,8387445,9983490,9250666,12572564,7773589,9306892,18842035
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,5562260,6067381,7463250,8237063,8833245,12505475,12283271,9956587,12973565,18098604
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,14818043,15281123,15842133,15699350,15501732,15525762,17741162,16202841,12433380,15620848
300220,Vaccines for human medicine,2530695,1686551,2436614,2926207,1826365,1419081,2360175,2019351,1771146,14809438
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",16590142,19095325,20929607,18322930,18845371,17897884,19479054,17379186,10117261,14369777
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",8743308,8887986,9134140,8773178,8932107,11070705,10838653,9945388,10392774,14021358
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,8283137,9924234,11108413,11037756,13907682
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175
271121,Natural gas in gaseous state,4438262,5868712,7315406,4401866,3652343,4700962,4729297,6000307,5470524,12828102
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",7358836,9692601,11207537,10493143,9897749,11928140,10510790,10142468,9607005,12636562
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",5212738,5475346,5674631,5747377,6165149,6579997,7224016,7447406,9193114,10985322
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",7780010,9023051,8208307,7640309,8727099,9997029,9113860,11504202,8301872,9938208
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",14309835,10575217,8163830,5416588,4233073,9578921,11824001,9582189,5884016,9425666
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",11850020,10797792,10674546,11772683,10543240,11167993,10078492,9230539,7438310,8692030
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",6737093,6620789,6545701,5680008,5089180,5299466,5394385,5471426,6306881,7547269
300212,Antisera and other blood fractions,0,0,0,0,0,6316615,6794319,7477146,6862771,7424545
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",9004639,9893593,9440600,9092513,9429490,9447618,9764711,9401811,7297749,7306739
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,2623482,2643877,2635289,3076470,3365477,4313839,5153948,4782202,5815617,7303564
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",7988505,10261202,7445197,5356650,5238228,5973274,5311615,6057968,6096728,7155868
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",7784158,9087872,9747722,9110930,8956030,9097774,9292221,8645561,4860844,6695429
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",648109,1025092,1823737,1190421,1138938,1889795,3113899,2699415,3354034,6533844
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",5794347,6698628,6347103,6432894,6883929,7831725,8562310,8057202,6237398,6483538
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",5172709,5322076,7371661,7865346,8116187,8637945,10893804,8895346,5815189,6228829
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",7461989,5980647,4778570,2905548,2632621,3762471,4871135,3956157,3681491,6209698
210690,"Food preparations, n.e.s.",4269494,4729595,4804847,4691573,5088757,4835636,5136485,5428778,5357505,6183409
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423
520100,"Cotton, neither carded nor combed",6226615,5592682,4397806,3889859,3959656,5827751,6550074,6140232,5952589,5713048
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",2787897,3093123,4694351,3413810,3094908,4442878,5486401,5856999,4370002,5597083
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",798724,965277,1126925,1128230,1354028,1691845,2483316,2839086,4594358,5556407
711031,"Rhodium, unwrought or in powder form",229646,184130,191334,179850,129346,201016,455224,875258,3091482,5433618
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410
847170,Storage units for automatic data-processing machines,6456889,6090264,6002453,5416662,5839744,5963269,6073329,5296765,5073983,5167540
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,3677071,3961318,4265405,4414010,5104601
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",2075560,1607660,1624219,1572624,1680961,1990398,2540873,2795843,3610942,4784336
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,3193768,3417659,7879129,6156647,4634088
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",3474443,3998620,4216160,3886394,3297160,3117169,3987565,3387509,3635156,4536968
711021,"Palladium, unwrought or in powder form",801951,839360,1234780,923919,558228,1268730,1837889,2607960,4318397,4533829
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",3307137,3489549,4008241,4198438,4189586,4388320,4638427,4189721,3712206,4517830
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",4471697,4129993,3516027,2789215,2232812,2761231,3166813,2825123,2675659,4497184
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",3255016,3570863,3915829,3624414,3277853,3313514,3704464,3914166,3592091,4488128
841199,"Parts of gas turbines, n.e.s.",5518212,5248226,4802994,5150364,5524235,5183714,4252761,4744244,4328601,4478165
850440,Static converters,3619333,3936061,4013838,4275739,3792855,3999761,4324540,4180497,3953291,4466967
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,1574976,2662982,3261135,3682122,4438868
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",2632422,2722844,2760415,2802769,2868343,2576261,3488424,3914698,3659526,4416508
20130,"Fresh or chilled bovine meat, boneless",2363743,2695434,2902630,2487439,2521922,3157537,3434807,3299768,3372353,4406108
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",3638838,3567951,3770161,3765067,3709376,3887262,4241295,4080453,3688553,4392623
