Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,151260013,163013499,168239638,169967750,129795972,126758508,135211178,144334893,131328602,152333959
999999,Commodities not elsewhere specified,15612,17173,13459,4231863,4860459,5599898,8520559,8641456,6553579,6796306
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",303286,1567507,1515673,325313,198287,2223588,3421865,3260117,3531723,6451886
870322,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1033502,1388348,828233,865789,527267,495727,1183970,5033544,4781537,5903720
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",259224,227437,659766,1273512,746217,880858,2076774,4751124,4489161,5239526
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",4311388,5528720,5482563,6008561,3909241,4863530,4765887,5075693,4031153,5002542
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",2258923,4471901,4626262,5084853,2162754,2547775,3137715,2330870,1165859,3683452
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",1038375,1922951,1969836,2363527,2675879,2940860,3158346,2935048,3359669,3351502
720310,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms",199966,269822,388406,237867,191505,352600,527067,1356279,1157371,2059086
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",757056,1111855,1287198,1083095,739558,1114532,1083272,1800639,1898775,1666107
890590,"Light-vessels, fire-floats, floating cranes and other vessels, the navigability of which is ...",75929,1523,29765,15293,4110,49802,778726,1811562,443195,1419955
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",539833,477774,344294,434997,597073,818852,781010,1028825,583550,1408225
300220,Vaccines for human medicine,136743,206694,277120,236926,203506,189636,315665,280845,213469,1310957
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",18464,12310,26331,4900,309722,742433,875904,618168,612277,1305481
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",260272,793453,1401333,738467,558968,886084,810340,818530,755452,1303937
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",1165459,1404924,1627925,2743414,2398210,2139166,2320210,2489533,1685440,1261841
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",1232055,1164707,1141757,1003931,722651,701852,747064,844575,1013260,1131244
100390,Barley (excluding seed for sowing),2513952,3249484,1993176,1469724,713052,800252,1032611,541737,616143,1126623
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",1057370,1358980,1731508,1451747,872054,957353,1231478,1324980,1311371,1030490
880310,"Propellers and rotors and parts thereof, for aircraft, n.e.s.",167,914,5359,758,205,2,178,189,292,910172
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",882309,1179896,1331287,1268953,1127202,1025124,1020546,755727,893886,902324
841510,"Window or wall air conditioning machines, self-contained or """"split-system""""""""",774066,727925,614151,1090972,879898,667819,550060,851082,1041109,894978
210690,"Food preparations, n.e.s.",979780,1022823,1035126,1084896,930372,873837,736570,719038,745399,855310
890520,Floating or submersible drilling or production platforms,1465903,1572929,1301971,312720,289986,400117,1590033,1452976,455831,851754
100590,Maize (excluding seed for sowing),622580,678242,677903,531069,314824,524586,639848,715094,653865,799417
880220,"Aeroplanes and other powered aircraft of an unladen weight <= 2.000 kg (excl. helicopters, ...",34637,4287,11933,192797,1,876,3227,512,248952,795976
382200,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",302172,411297,488588,484250,411092,455532,595250,560882,723057,795384
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces",1296256,1438008,963772,1179020,1009341,717031,797829,710287,657999,721373
890400,Tugs and pusher craft,53606,276552,51905,104767,184044,16249,719683,987473,395739,707135
740311,"Copper, refined, in the form of cathodes and sections of cathodes",1363076,996916,1139023,1033495,852534,766296,671577,645895,704583,692462
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",897329,938524,902168,790327,639563,611130,626384,942226,571814,669596
843049,"Boring or sinking machinery for boring earth or extracting minerals or ores, not self-propelled ...",191699,416608,539901,363820,52881,19249,42960,600618,146894,640480
840710,"Spark-ignition reciprocating or rotary internal combustion piston engine, for aircraft",518200,870664,1025752,1194724,897680,775038,421783,734760,524652,618194
890190,Vessels for the transport of goods and vessels for the transport of both persons and goods ...,20600,13973,32167,0,10000,6289,308084,247601,145181,591322
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",227331,413109,505936,423717,277821,234810,352030,452574,454641,569852
290220,Benzene,744619,626096,735701,403004,344235,515448,522455,481741,388155,529791
190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",550645,478247,609015,652552,647491,559643,513984,580541,566988,528439
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",744441,681326,686841,676096,533741,456993,441962,565651,532728,496676
240220,"Cigarettes, containing tobacco",878910,957836,1043244,1140413,1180582,746672,427849,515800,545808,496437
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),27431,24795,21592,23004,24623,31113,116485,215773,200289,483235
10410,Live sheep,559820,682606,693944,791006,590970,576820,518101,565851,420360,466011
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",355030,334353,356231,310810,211318,319709,339310,284434,348004,465166
170113,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained ...",33463,57238,117451,18964,2824,286974,348034,331114,388724,462716
151110,Crude palm oil,243928,210812,270110,177872,93515,181326,225095,226688,184220,459452
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",351514,346655,431952,483238,456066,397193,409579,456926,434232,459304
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,333286,536155,579947,559520,401875,475200,409724,580864,452802,432605
120190,"Soya beans, whether or not broken (excluding seed for sowing)",337938,332456,355442,311722,234917,282031,222452,261607,259604,426972
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",352048,421993,519152,522295,329560,380922,526203,419557,376059,420855
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",155717,162645,190451,210184,224116,258839,242171,292239,296692,411016
100119,Durum wheat (excluding seed for sowing),39,108,226,56,4,143863,222559,123429,194058,407267
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",430433,442317,476934,440777,391930,340832,385669,461067,348169,400607
841199,"Parts of gas turbines, n.e.s.",807159,730129,583510,804203,545457,634998,572983,363410,239314,395754
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",6159843,7133006,7289675,7592075,5465671,3661032,2555471,289655,598300,393983
852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",195244,70074,84880,90070,62095,76555,113639,188740,226121,381453
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",763273,753503,1080059,871226,639281,615730,751344,772633,322220,376479
40221,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",371640,403117,469713,407901,305345,311480,275248,364756,490012,356548
760120,Unwrought aluminium alloys,20858,19880,24267,55524,56513,166354,203023,170400,337744,356076
720719,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",4259,32985,135679,89808,1911,12825,32457,11439,15132,355625
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",152028,175925,174224,223682,218577,213226,259250,282400,292913,348652
690790,"Unglazed ceramic flags and paving, hearth or wall tiles; unglazed ceramic mosaic cubes and ...",55746,68144,88826,112242,100876,108539,205275,134986,634721,344292
300210,"Antisera and other blood fractions and immunological products, whether or not modified or obtained ...",41770,79769,117916,147056,212828,191997,236404,263364,505756,338164
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",29838,38870,34030,62379,28691,43698,59239,68369,169549,333572
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",175431,348373,310578,276478,163641,263894,344860,351797,284862,327868
291736,Terephthalic acid and its salts,0,167753,159252,53407,49214,60895,36429,24954,70458,325284
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",1368411,1540257,1311081,1279916,1015575,756460,521795,562338,342794,318776
40630,"Processed cheese, not grated or powdered",301724,289979,331878,269833,192441,260465,253013,260299,253829,312858
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",215396,266082,321968,274817,312767,294031,236853,315425,253993,311004
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",174511,156751,183628,210507,148495,164086,220122,250591,287417,310818
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,0,0,0,0,306772
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",104378,92242,122047,148457,196701,256916,275093,296959,244864,305294
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",68185,72877,84656,104269,67255,48430,58436,58774,109306,302359
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",8520238,7332116,7255985,7870267,6131567,4450822,3071811,834901,681421,288436
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",927188,1196982,957671,978919,436575,415040,416922,398896,247046,285232
20230,"Frozen, boneless meat of bovine animals",328785,277886,294771,289403,193628,172035,173590,211739,186316,282298
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",194546,216485,212511,187429,122535,145974,182512,323236,230773,279466
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",1098685,1309005,1196919,1376406,755953,242218,169739,201843,279871,267097
200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",172517,185288,192111,188934,201887,225644,184007,243365,224418,266280
850440,Static converters,122405,156245,200685,170603,141330,151465,182081,161181,174388,261263
841391,"Parts of pumps for liquids, n.e.s.",256933,311179,331309,333002,279838,261359,299797,363901,365105,259167
180620,"Chocolate and other food preparations containing cocoa, in blocks, slabs or bars weighing > ...",208264,228448,251063,210048,209264,205501,234998,251600,228223,258170
940350,Wooden furniture for bedrooms (excluding seats),229008,237454,306417,359329,214327,169430,167547,241034,206679,252299
721420,"Bars and rods, of iron or non-alloy steel, with indentations, ribs, groves or other deformations ...",469890,387640,142647,89714,103137,25672,538,5133,206921,250837
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",193611,130148,186708,142047,80962,65274,58780,71346,144526,246036
842121,Machinery and apparatus for filtering or purifying water,152963,154443,152137,170222,149275,108528,125979,140428,134447,242355
80510,Fresh or dried oranges,195274,183924,192701,183394,197296,194189,212934,208865,224937,237393
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",15723,19703,26931,29687,35544,51644,188028,180388,270481,235917
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",76848,97023,119735,138864,114804,123944,126891,157238,165583,234049
90111,Coffee (excluding roasted and decaffeinated),168630,128121,155927,161645,134890,183278,163029,140284,163551,228954
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,393919,268516,259012,218154,118377,86952,108183,133169,159764,221864
20130,"Fresh or chilled bovine meat, boneless",59630,67155,92297,103640,93907,110840,106869,178023,243361,220532
570242,"Carpets and other floor coverings, of man-made textile materials, woven, not tufted or flocked, ...",40199,46557,119350,178526,161675,151168,139229,198403,165793,219451
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",1460275,772626,438569,484309,347659,72253,13815,79871,213842,218364
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",223434,208064,191747,260930,199781,173732,113126,147339,198482,216798
121490,"Swedes, mangolds, fodder roots, hay, lucerne """"alfalfa"""", clover, sainfoin, forage kale, lupines, ...""",75548,94829,32625,20878,72733,156074,265149,275162,243925,214724
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",240017,230492,286089,241839,242014,185750,172067,167685,183649,213459
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",167897,180619,177801,234407,185264,220384,201339,216992,229499,213179
300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...""",847745,749160,648947,868928,496556,463302,204251,181896,184958,212133
