Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
TOTAL,All products,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",108298231,99354751,94971596,55132262,44238339,59595047,80374087,70193489,44461676,67019705
271111,"Natural gas, liquefied",27364464,30666717,31423901,18781885,12160921,15620996,23200103,20575241,15718260,25456410
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",14406130,14864740,16416096,18936461,17762547,17430645,16364575,15717142,18626463,22698988
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
854232,Electronic integrated circuits as memories,5091921,5718313,5908469,7549418,7505162,10916151,13160500,14970347,15644386,18828553
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,5280006,3810819,5197125,5076277,5344652,13589197,12011339,5096218,10271242,16354874
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",14221223,11629780,10723078,8678974,8167716,13493699,14653133,13065942,8794979,13475991
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),8416659,7797115,7959540,4582840,3760830,4988901,4847160,6480176,6708559,11177684
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",5784073,7072777,7439705,4912421,4471686,4780311,4692389,4752213,5684805,8322568
260300,Copper ores and concentrates,4570946,3938599,3635810,3504131,2826088,3582263,4055585,3455694,4236416,6017233
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",1035993,1038572,1763019,3067955,2885440,5000070,4316703,3778438,4103680,4953186
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,1837600,1868131,1923454,2344343,2676294,2989067,4678803,6033076,5096197,4885940
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",2439153,3128600,5860128,6962723,7373019,6471977,5553043,5844249,4719017,4594644
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",1228876,1503414,1846344,2047586,3014757,3524901,4410131,5112033,4765174,4479197
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",5146332,6884243,7760657,3337556,2664516,3564408,5094896,3396484,2587689,4429473
847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",1811183,1791005,1848781,1706756,1852511,2314068,2390393,2705992,3470964,4365444
